product_name,current_stock,shop_name,shop_id,brand,unique_item_id,sold_per_month,historical_sold,liked_count,variation_type,variation,current_price,min_price,max_price,lowest_price_guarantee,current_discount_percentage,rating_star,shopee_verified,official_shop,cc_installment,none_cc_installment,preferred_seller,shop_location,shop_rating,cod,extraction_date
Johnnie Walker Red Label Blended Scotch Whisky 1L,34,SingleMalt.PH,426244685,,12720265244,5,30,17,,[''],799.0,799.0,799.0,False,9%,4.5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker Black Label 12 Year Old Whisky 1L,175,SingleMalt.PH,426244685,,13520187046,22,201,58,,[''],1299.0,1299.0,1299.0,False,0,4.9523809523809526,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Baileys Original Irish Cream Liqueur 70cl,8,SingleMalt.PH,426244685,,18138337961,8,10,13,,[''],729.0,729.0,729.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Glenfiddich 12 Year Old Single Malt Whisky 70cl,1,SingleMalt.PH,426244685,,12624009307,0,199,51,,[''],2899.0,2899.0,2899.0,False,0,4.888888888888889,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jack Daniel's Honey Whisky 70cl,5,SingleMalt.PH,426244685,,13020124538,1,32,40,,[''],1149.0,1149.0,1149.0,False,0,4.769230769230769,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Hennessy VS 2022 NBA Collector's Edition 70cl,18,SingleMalt.PH,426244685,,21681313840,9,30,19,,[''],2349.0,2349.0,2349.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Dewars Japanese Smooth Mizunara Oak Cask Finish Whisky 70cl,5,SingleMalt.PH,426244685,,10772878175,4,33,21,,[''],969.0,969.0,969.0,False,3%,4.923076923076923,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Bacardi Gold Rum 75cl,9,SingleMalt.PH,426244685,,18800720768,1,10,7,,[''],690.0,690.0,690.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker Black Label 12 Year Old Whisky 70cl,21,SingleMalt.PH,426244685,,11154825346,4,23,10,,[''],1189.0,1189.0,1189.0,False,0,4.5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Dewars 12 Year Old Blended Scotch Whisky 75cl,38,SingleMalt.PH,426244685,Dewar's,8559635729,7,56,29,,[''],1139.0,1139.0,1139.0,False,1%,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jack Daniel's Old No. 7 Tennessee Whisky 70cl,2,SingleMalt.PH,426244685,,10954768122,1,9,11,,[''],1299.0,1299.0,1299.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Big Peat Peatrichor Edition Feis Isle 2021 53.8% Cask Strength 70cl,1,SingleMalt.PH,426244685,,12336615776,1,7,2,,[''],3029.0,3029.0,3029.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jim Beam White Bourbon Whiskey 75cl,1,SingleMalt.PH,426244685,,12720194192,1,15,10,,[''],899.0,899.0,899.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Cosmopolitan Diva Original Sparkling Wine 75cl,2,SingleMalt.PH,426244685,,23036952120,3,5,13,,[''],459.0,459.0,459.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Whyte and Mackay Blended Scotch Whisky 70cl,1,SingleMalt.PH,426244685,,12223591976,5,47,10,,[''],439.0,439.0,439.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jack Daniel's Old No.7 Whisky 1L,6,SingleMalt.PH,426244685,,13620139413,0,27,15,,[''],1799.0,1799.0,1799.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Chivas Regal 12 Year Old with Cradle 4.5L,6,SingleMalt.PH,426244685,,20738415312,0,17,23,,[''],8149.0,8149.0,8149.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Emperador Coffee Brandy 75cl,39,SingleMalt.PH,426244685,,13229011545,8,9,2,,[''],129.0,129.0,129.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Bacardi Superior Rum 75cl,18,SingleMalt.PH,426244685,,17362580997,0,6,4,,[''],690.0,690.0,690.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Suntory Roku Gin 70cl,3,SingleMalt.PH,426244685,,9859661874,0,41,29,,[''],1879.0,1879.0,1879.0,False,6%,4.875,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Teeling Small Batch 70cl with 2 Glasses in Black Tin Can,1,SingleMalt.PH,426244685,,8494227718,1,8,6,,[''],1679.0,1679.0,1679.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker Double Black 1L Festive Gift Set,24,SingleMalt.PH,426244685,,22760843335,0,0,1,,[''],2129.0,2129.0,2129.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Dewars 15 Year Old Scotch Whisky 75cl,8,SingleMalt.PH,426244685,,10553960786,2,26,5,,[''],1729.0,1729.0,1729.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Table Mountain Cabernet Sauvignon Red Wine 75cl,8,SingleMalt.PH,426244685,,12722938697,3,18,11,,[''],399.0,399.0,399.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Martini 0.0 Dolce Spumante Alcohol Free 75cl,11,SingleMalt.PH,426244685,,18916638197,0,2,7,,[''],499.0,499.0,499.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Glencairn Crystal Whisky Glass with Individual Box,48,SingleMalt.PH,426244685,,13518780274,8,76,21,,[''],679.0,679.0,679.0,False,0,4.8,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Chivas 18 x Black Pink LISA (Special Release) 70cl,8,SingleMalt.PH,426244685,,9599794873,0,9,27,,[''],3499.0,3499.0,3499.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jack Daniels Gentleman Jack 75cl,3,SingleMalt.PH,426244685,,13820110749,1,16,11,,[''],1659.0,1659.0,1659.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
The Macallan Fine Oak Triple Cask 12 Year Old 70cl,7,SingleMalt.PH,426244685,,11055571296,0,36,12,,[''],8899.0,8899.0,8899.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Bombay Sapphire 75cl,7,SingleMalt.PH,426244685,,9994272723,0,22,11,,[''],1299.0,1299.0,1299.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Patron Añejo Tequila 75cl,2,SingleMalt.PH,426244685,,18440909029,0,1,0,,[''],3899.0,3899.0,3899.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Flor De Caña 12 Year Old Centenario Rum 70cl,2,SingleMalt.PH,426244685,,19837462943,3,9,9,,[''],2199.0,2199.0,2199.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Hennessy VSOP Cognac 70cl,16,SingleMalt.PH,426244685,,12020159919,0,13,11,,[''],3799.0,3799.0,3799.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Paddy Irish Whiskey 70cl,6,SingleMalt.PH,426244685,,22636957858,1,4,1,,[''],699.0,699.0,699.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker 15 Year Old Sherry 70cl w/ Glass Gift Set,3,SingleMalt.PH,426244685,,18475686855,0,4,13,,[''],3779.0,3779.0,3779.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
